variant,episode,seed,immediate_left_joint_id,immediate_right_joint_id,immediate_left_qpos_m,immediate_right_qpos_m,immediate_left_target_qpos_m,immediate_right_target_qpos_m,immediate_left_qvel,immediate_right_qvel,immediate_left_target_qvel,immediate_right_target_qvel,after_sync_left_joint_id,after_sync_right_joint_id,after_sync_left_qpos_m,after_sync_right_qpos_m,after_sync_left_target_qpos_m,after_sync_right_target_qpos_m,after_sync_left_qvel,after_sync_right_qvel,after_sync_left_target_qvel,after_sync_right_target_qvel,after_obs_left_joint_id,after_obs_right_joint_id,after_obs_left_qpos_m,after_obs_right_qpos_m,after_obs_left_target_qpos_m,after_obs_right_target_qpos_m,after_obs_left_qvel,after_obs_right_qvel,after_obs_left_target_qvel,after_obs_right_target_qvel,left_link6_x_m,left_link6_y_m,left_link6_z_m,right_link6_x_m,right_link6_y_m,right_link6_z_m
baseline,11,626610453,12,14,-2.5007830117829144e-07,-3.708732876361864e-08,0.0,0.0,0.00013487337855622172,2.7781110475189053e-05,0.0,0.0,12,14,-2.5007830117829144e-07,-3.708732876361864e-08,0.0,0.0,0.00013487337855622172,2.7781110475189053e-05,0.0,0.0,12,14,-2.5007830117829144e-07,-3.708732876361864e-08,0.0,0.0,0.00013487337855622172,2.7781110475189053e-05,0.0,0.0,0.28793105483055115,0.28523316979408264,1.0556915998458862,0.2816925048828125,-0.2928943336009979,1.0690841674804688
baseline,12,1650906866,12,14,-9.619956387041384e-08,-2.1910742020736507e-07,0.0,0.0,6.160933116916567e-05,0.0001323509495705366,0.0,0.0,12,14,-9.619956387041384e-08,-2.1910742020736507e-07,0.0,0.0,6.160933116916567e-05,0.0001323509495705366,0.0,0.0,12,14,-9.619956387041384e-08,-2.1910742020736507e-07,0.0,0.0,6.160933116916567e-05,0.0001323509495705366,0.0,0.0,0.28928622603416443,0.2876708209514618,1.0492236614227295,0.27217158675193787,-0.2933013141155243,1.0907411575317383
baseline,13,1879422756,12,14,2.5757111643542885e-07,-2.1236655811662786e-07,0.0,0.0,-0.00014374674356076866,0.00013543973909690976,0.0,0.0,12,14,2.5757111643542885e-07,-2.1236655811662786e-07,0.0,0.0,-0.00014374674356076866,0.00013543973909690976,0.0,0.0,12,14,2.5757111643542885e-07,-2.1236655811662786e-07,0.0,0.0,-0.00014374674356076866,0.00013543973909690976,0.0,0.0,0.2864433526992798,0.29225677251815796,1.0575522184371948,0.28228604793548584,-0.2886616587638855,1.0741618871688843
baseline,14,1277901399,12,14,-1.9290661157356226e-07,-7.201989404848064e-08,0.0,0.0,0.00011520420230226591,4.7863977670203894e-05,0.0,0.0,12,14,-1.9290661157356226e-07,-7.201989404848064e-08,0.0,0.0,0.00011520420230226591,4.7863977670203894e-05,0.0,0.0,12,14,-1.9290661157356226e-07,-7.201989404848064e-08,0.0,0.0,0.00011520420230226591,4.7863977670203894e-05,0.0,0.0,0.2942258417606354,0.2960415184497833,1.0377134084701538,0.28456178307533264,-0.30182981491088867,1.066922664642334
baseline,15,1682652230,12,14,1.2945173466505366e-07,-2.1071936373573408e-07,0.0,0.0,-6.946726352907717e-05,0.00013037078315392137,0.0,0.0,12,14,1.2945173466505366e-07,-2.1071936373573408e-07,0.0,0.0,-6.946726352907717e-05,0.00013037078315392137,0.0,0.0,12,14,1.2945173466505366e-07,-2.1071936373573408e-07,0.0,0.0,-6.946726352907717e-05,0.00013037078315392137,0.0,0.0,0.28323128819465637,0.29481589794158936,1.0481345653533936,0.28860703110694885,-0.2920295298099518,1.0723850727081299
baseline,16,243580376,12,14,-4.3051554143858084e-07,-4.500338590673891e-08,0.0,0.0,0.00025027242372743785,3.2952739275060594e-05,0.0,0.0,12,14,-4.3051554143858084e-07,-4.500338590673891e-08,0.0,0.0,0.00025027242372743785,3.2952739275060594e-05,0.0,0.0,12,14,-4.3051554143858084e-07,-4.500338590673891e-08,0.0,0.0,0.00025027242372743785,3.2952739275060594e-05,0.0,0.0,0.27873098850250244,0.2931412160396576,1.0685244798660278,0.27909114956855774,-0.304180771112442,1.0646051168441772
baseline,17,1991416408,12,14,2.314707501227531e-07,4.994839173377841e-07,0.0,0.0,-0.00012978097947780043,-0.0002806037082336843,0.0,0.0,12,14,2.314707501227531e-07,4.994839173377841e-07,0.0,0.0,-0.00012978097947780043,-0.0002806037082336843,0.0,0.0,12,14,2.314707501227531e-07,4.994839173377841e-07,0.0,0.0,-0.00012978097947780043,-0.0002806037082336843,0.0,0.0,0.29304996132850647,0.2903726398944855,1.0610066652297974,0.28655216097831726,-0.30498331785202026,1.0621957778930664
baseline,18,1171049868,12,14,-3.854843271255959e-07,2.5174020379381545e-07,0.0,0.0,0.00022015524154994637,-0.00014732519048266113,0.0,0.0,12,14,-3.854843271255959e-07,2.5174020379381545e-07,0.0,0.0,0.00022015524154994637,-0.00014732519048266113,0.0,0.0,12,14,-3.854843271255959e-07,2.5174020379381545e-07,0.0,0.0,0.00022015524154994637,-0.00014732519048266113,0.0,0.0,0.2814762592315674,0.296121209859848,1.0736310482025146,0.27779486775398254,-0.2965054214000702,1.07965886592865
baseline,19,1646868794,12,14,-1.6187934193112596e-07,-1.1882330674950481e-08,0.0,0.0,0.00010633316560415551,-5.340613824955653e-06,0.0,0.0,12,14,-1.6187934193112596e-07,-1.1882330674950481e-08,0.0,0.0,0.00010633316560415551,-5.340613824955653e-06,0.0,0.0,12,14,-1.6187934193112596e-07,-1.1882330674950481e-08,0.0,0.0,0.00010633316560415551,-5.340613824955653e-06,0.0,0.0,0.2910172641277313,0.3035256564617157,1.0539687871932983,0.2851995527744293,-0.2993720769882202,1.0737502574920654
baseline,20,2051556033,12,14,-1.4968213690735865e-07,-1.1314096326486833e-09,0.0,0.0,8.990323840407655e-05,-7.261806786118541e-06,0.0,0.0,12,14,-1.4968213690735865e-07,-1.1314096326486833e-09,0.0,0.0,8.990323840407655e-05,-7.261806786118541e-06,0.0,0.0,12,14,-1.4968213690735865e-07,-1.1314096326486833e-09,0.0,0.0,8.990323840407655e-05,-7.261806786118541e-06,0.0,0.0,0.29220861196517944,0.2910074293613434,1.0694169998168945,0.27216383814811707,-0.30199873447418213,1.0949954986572266
