factor,repeat,outcome,steps,initial_spoon_y_m,cam_high_fx,max_fork_lift_m,max_spoon_lift_m,final_fork_target_xy_error_m,final_spoon_target_xy_error_m
baseline,1,pick_failure,361,-0.291733056306839,625.9396362304688,0.10393726825714111,3.725290298461914e-05,0.013543382405912024,0.15333909129147458
baseline,2,pick_failure,361,-0.291733056306839,625.9396362304688,0.10413140058517456,4.26173210144043e-05,0.013265926556104063,0.1540719970392339
baseline,3,pick_failure,361,-0.291733056306839,625.9396362304688,0.10511791706085205,4.8160552978515625e-05,0.01360466942752075,0.15455779068778563
camera_fx_zero,1,placement_failure,361,-0.291733056306839,606.315185546875,0.10313361883163452,0.10372453927993774,0.008193549711341973,0.03570411412468055
camera_fx_zero,2,success,150,-0.291733056306839,606.315185546875,0.10401713848114014,0.09096890687942505,0.010197552964925439,0.03433053936267694
camera_fx_zero,3,success,150,-0.291733056306839,606.315185546875,0.10421502590179443,0.09229475259780884,0.00928762497397889,0.03492760497647581
camera_fx_zero,4,placement_failure,361,-0.291733056306839,606.315185546875,0.10399430990219116,0.09984421730041504,0.009487415322362169,0.035069718829238296
camera_fx_zero,5,placement_failure,361,-0.291733056306839,606.315185546875,0.10365927219390869,0.10572677850723267,0.008253135752797274,0.03529331857495464
spoon_y_center,1,success,140,-0.22496624290943146,625.9396362304688,0.10441261529922485,0.10447943210601807,0.008593001665873228,0.00677799730045428
spoon_y_center,2,success,140,-0.22496624290943146,625.9396362304688,0.10455548763275146,0.10559552907943726,0.008000971447581844,0.006370507487934041
spoon_y_center,3,success,140,-0.22496624290943146,625.9396362304688,0.10449004173278809,0.10385102033615112,0.008315403706639675,0.007403698417123915
