variant,episode,seed,immediate_left_joint_id,immediate_right_joint_id,immediate_left_qpos_m,immediate_right_qpos_m,immediate_left_target_qpos_m,immediate_right_target_qpos_m,immediate_left_qvel,immediate_right_qvel,immediate_left_target_qvel,immediate_right_target_qvel,after_sync_left_joint_id,after_sync_right_joint_id,after_sync_left_qpos_m,after_sync_right_qpos_m,after_sync_left_target_qpos_m,after_sync_right_target_qpos_m,after_sync_left_qvel,after_sync_right_qvel,after_sync_left_target_qvel,after_sync_right_target_qvel,after_obs_left_joint_id,after_obs_right_joint_id,after_obs_left_qpos_m,after_obs_right_qpos_m,after_obs_left_target_qpos_m,after_obs_right_target_qpos_m,after_obs_left_qvel,after_obs_right_qvel,after_obs_left_target_qvel,after_obs_right_target_qvel,left_link6_x_m,left_link6_y_m,left_link6_z_m,right_link6_x_m,right_link6_y_m,right_link6_z_m
baseline,11,626610453,12,14,0.031006494536995888,-9.711612136698022e-08,0.03100457601249218,0.0,9.265106200473383e-05,5.060199327999726e-05,0.0,0.0,12,14,0.031006494536995888,-9.711612136698022e-08,0.03100457601249218,0.0,9.265106200473383e-05,5.060199327999726e-05,0.0,0.0,12,14,0.031006494536995888,-9.711612136698022e-08,0.03100457601249218,0.0,9.265106200473383e-05,5.060199327999726e-05,0.0,0.0,0.288324236869812,0.2854982614517212,1.0579744577407837,0.28187593817710876,-0.2932027280330658,1.0712748765945435
baseline,12,1650906866,12,14,-2.125646915374091e-06,-1.1181067094412356e-07,0.0,0.0,0.0001506777771282941,6.112561095505953e-05,0.0,0.0,12,14,-2.125646915374091e-06,-1.1181067094412356e-07,0.0,0.0,0.0001506777771282941,6.112561095505953e-05,0.0,0.0,12,14,-2.125646915374091e-06,-1.1181067094412356e-07,0.0,0.0,0.0001506777771282941,6.112561095505953e-05,0.0,0.0,0.2894941568374634,0.2874976396560669,1.0509803295135498,0.27231624722480774,-0.29357171058654785,1.0929831266403198
baseline,13,1879422756,12,14,2.863334991332067e-08,7.860341710852481e-09,0.0,0.0,-2.1904954337514937e-05,-1.0876865417230874e-06,0.0,0.0,12,14,2.863334991332067e-08,7.860341710852481e-09,0.0,0.0,-2.1904954337514937e-05,-1.0876865417230874e-06,0.0,0.0,12,14,2.863334991332067e-08,7.860341710852481e-09,0.0,0.0,-2.1904954337514937e-05,-1.0876865417230874e-06,0.0,0.0,0.2864963412284851,0.29245251417160034,1.0577751398086548,0.28140246868133545,-0.2875913083553314,1.0686955451965332
baseline,14,1277901399,12,14,0.031266145408153534,4.0864014749786293e-07,0.03126540780067444,0.0,0.00021630345145240426,-0.00023275466810446233,0.0,0.0,12,14,0.031266145408153534,4.0864014749786293e-07,0.03126540780067444,0.0,0.00021630345145240426,-0.00023275466810446233,0.0,0.0,12,14,0.031266145408153534,4.0864014749786293e-07,0.03126540780067444,0.0,0.00021630345145240426,-0.00023275466810446233,0.0,0.0,0.29498177766799927,0.2941336929798126,1.0433323383331299,0.2837304174900055,-0.3069256544113159,1.0601924657821655
baseline,15,1682652230,12,14,-2.0604077235475415e-06,-2.487241204107704e-07,0.0,0.0,0.00016672888887114823,0.0001464006199967116,0.0,0.0,12,14,-2.0604077235475415e-06,-2.487241204107704e-07,0.0,0.0,0.00016672888887114823,0.0001464006199967116,0.0,0.0,12,14,-2.0604077235475415e-06,-2.487241204107704e-07,0.0,0.0,0.00016672888887114823,0.0001464006199967116,0.0,0.0,0.2840147018432617,0.2961180806159973,1.0536608695983887,0.2889077365398407,-0.29256436228752136,1.073869228363037
baseline,16,243580376,12,14,0.015149597078561783,-3.137539579256554e-07,0.015147736296057701,0.0,0.00017085739818867296,0.00018514078692533076,0.0,0.0,12,14,0.015149597078561783,-3.137539579256554e-07,0.015147736296057701,0.0,0.00017085739818867296,0.00018514078692533076,0.0,0.0,12,14,0.015149597078561783,-3.137539579256554e-07,0.015147736296057701,0.0,0.00017085739818867296,0.00018514078692533076,0.0,0.0,0.27849677205085754,0.2913839817047119,1.0685189962387085,0.2795916497707367,-0.30412283539772034,1.067762851715088
baseline,17,1991416408,12,14,2.3172709973096062e-07,1.9646767768222162e-08,0.0,0.0,-0.00013061068602837622,-5.739693733630702e-06,0.0,0.0,12,14,2.3172709973096062e-07,1.9646767768222162e-08,0.0,0.0,-0.00013061068602837622,-5.739693733630702e-06,0.0,0.0,12,14,2.3172709973096062e-07,1.9646767768222162e-08,0.0,0.0,-0.00013061068602837622,-5.739693733630702e-06,0.0,0.0,0.29286929965019226,0.289147287607193,1.060176968574524,0.28706133365631104,-0.30290308594703674,1.0652443170547485
baseline,18,1171049868,12,14,0.04991597309708595,1.537118237138202e-07,0.04991362988948822,0.0,-0.00011895796342287213,-8.134220843203366e-05,0.0,0.0,12,14,0.04991597309708595,1.537118237138202e-07,0.04991362988948822,0.0,-0.00011895796342287213,-8.134220843203366e-05,0.0,0.0,12,14,0.04991597309708595,1.537118237138202e-07,0.04991362988948822,0.0,-0.00011895796342287213,-8.134220843203366e-05,0.0,0.0,0.2813815176486969,0.29478099942207336,1.0698343515396118,0.2776247262954712,-0.2961209714412689,1.0769060850143433
baseline,19,1646868794,12,14,-7.59415058837476e-07,1.8814816371559573e-07,0.0,0.0,0.00018381568952463567,-0.00011069542961195111,0.0,0.0,12,14,-7.59415058837476e-07,1.8814816371559573e-07,0.0,0.0,0.00018381568952463567,-0.00011069542961195111,0.0,0.0,12,14,-7.59415058837476e-07,1.8814816371559573e-07,0.0,0.0,0.00018381568952463567,-0.00011069542961195111,0.0,0.0,0.2910612225532532,0.3023080825805664,1.0551644563674927,0.2848428189754486,-0.29915034770965576,1.0711864233016968
baseline,20,2051556033,12,14,0.013671914115548134,1.6712131412077724e-07,0.013672979548573494,0.0,-0.00021208044199738652,-0.00010974821634590626,0.0,0.0,12,14,0.013671914115548134,1.6712131412077724e-07,0.013672979548573494,0.0,-0.00021208044199738652,-0.00010974821634590626,0.0,0.0,12,14,0.013671914115548134,1.6712131412077724e-07,0.013672979548573494,0.0,-0.00021208044199738652,-0.00010974821634590626,0.0,0.0,0.2916067838668823,0.28533971309661865,1.066196322441101,0.27213752269744873,-0.30105552077293396,1.094452142715454
