case,frames,strict_success,first_success_step,max_fork_lift_m,max_spoon_lift_m,fork_planar_displacement_m,spoon_planar_displacement_m
expert_z_-0p008,200,True,160,0.10331624746322632,0.10397344827651978,0.06394824988540496,0.009096323631733062
expert_z_0p0,200,True,159,0.09898334741592407,0.056310415267944336,0.06375393117101658,0.005655781107049657
expert_z_0p005,200,False,,0.005243241786956787,0.00048238039016723633,0.002562262714156493,0.00015173013269858165
