case,steps,gripper_mode,max_raw_left_m,max_env_left_m,max_physical_left_m,max_raw_right_m,max_env_right_m,max_physical_right_m,min_left_link6_to_fork_m,min_right_link6_to_spoon_m,max_fork_lift_m,max_spoon_lift_m,final_fork_displacement_m,final_spoon_displacement_m
baseline_legacy_n50,361,legacy_scaled,0.050212278962135315,0.0025106139946728945,0.010192235000431538,0.050231724977493286,0.002511586295440793,0.0028043310157954693,0.14034846425056458,0.14100192487239838,0.11875420808792114,0.0006140470504760742,0.11860498785972595,0.010153512470424175
gripper_physical_n50,170,physical,0.049720220267772675,0.049720220267772675,0.049618493765592575,0.04979630187153816,0.04979630187153816,0.050298094749450684,0.13593514263629913,0.13810651004314423,0.10773962736129761,0.10202133655548096,0.06217539682984352,0.03535059094429016
gripper_physical_n5,361,physical,0.050060614943504333,0.05000000074505806,0.04985550045967102,0.050084441900253296,0.05000000074505806,0.049829721450805664,0.16426216065883636,0.15534882247447968,0.0,0.0,1.0133885552932043e-06,0.0
gripper_physical_n1,361,physical,-0.00018613971769809723,0.0,5.2918685469194315e-06,0.00017395615577697754,0.00017395615577697754,0.0001700317661743611,0.27271002531051636,0.31976762413978577,0.0,0.0,0.0,0.0
