seed,factor,outcome,steps,initial_spoon_x_m,initial_spoon_y_m,initial_spoon_yaw_deg,cam_high_fx,cam_high_fy,closest_step,closest_spoon_minus_right_x_m,closest_spoon_minus_right_y_m,closest_spoon_minus_right_z_m,max_fork_lift_m,max_spoon_lift_m,final_fork_target_xy_error_m,final_spoon_target_xy_error_m
1879422756,baseline,fail,361,0.40242844820022583,-0.291733056306839,-19.18778424250099,625.9396362304688,566.4232177734375,52,-0.07617926597595215,-0.0020395219326019287,-0.13791334629058838,0.10416948795318604,4.678964614868164e-05,0.01410253751823167,0.15356675042257037
1879422756,camera_fx_zero,success,140,0.40242844820022583,-0.291733056306839,-19.18778424250099,606.315185546875,566.4232177734375,54,-0.028029948472976685,0.007656753063201904,-0.13803285360336304,0.10352611541748047,0.07900363206863403,0.009138495591277386,0.026339195360719627
1879422756,spoon_y_center,success,140,0.40242868661880493,-0.22496624290943146,-19.18764149432573,625.9396362304688,566.4232177734375,50,0.012155145406723022,0.005463078618049622,-0.1378084421157837,0.10440611839294434,0.10732173919677734,0.00817866273970564,0.006932457668568064
924231285,baseline,fail,361,0.43819788098335266,-0.29988500475883484,-1.171307032925426,648.9586181640625,576.7219848632812,53,-0.08529049158096313,-0.02814561128616333,-0.13755375146865845,0.052971482276916504,0.00014418363571166992,0.06439287798998004,0.14873769145563268
924231285,camera_fx_zero,success,160,0.43819788098335266,-0.29988500475883484,-1.171307032925426,606.315185546875,576.7219848632812,71,0.03035414218902588,-0.0025374889373779297,-0.1373218297958374,0.10205948352813721,0.09272134304046631,0.02386477030884398,0.028698859034660063
924231285,camera_fy_zero,fail,361,0.43819788098335266,-0.29988500475883484,-1.171307032925426,648.9586181640625,606.1009521484375,102,-0.058425694704055786,-0.007026106119155884,-0.1389637589454651,0.0006238818168640137,0.02137857675552368,0.07857100163417588,0.10725295950355648
924231285,camera_intrinsics_zero,success,160,0.43819788098335266,-0.29988500475883484,-1.171307032925426,606.315185546875,606.1009521484375,70,0.031119942665100098,-0.0009858906269073486,-0.13737636804580688,0.1042284369468689,0.09199732542037964,0.021558834983833083,0.022127444998534647
924231285,distractors_hidden,fail,361,0.43819788098335266,-0.29988500475883484,-1.171307032925426,648.9586181640625,576.7219848632812,52,-0.08670145273208618,-0.027592629194259644,-0.13754498958587646,0.05334937572479248,0.0005193352699279785,0.06427338156139141,0.14913984870294691
924231285,spoon_y_center,success,170,0.43819788098335266,-0.225021094083786,-1.171308004469184,648.9586181640625,576.7219848632812,65,0.017044663429260254,0.003262460231781006,-0.1373324990272522,0.09751862287521362,0.10487306118011475,0.02525736261837707,0.01412202608378649
