n_action_steps,setting,episode,trace_episode,seed,success,trace_success,failure_stage,steps_logged,initial_open_left_m,initial_open_right_m,max_open_left_m,max_open_right_m,max_fork_lift_m,max_spoon_lift_m,min_left_link6_to_fork_m,min_right_link6_to_spoon_m,max_target_streak,final_fork_target_xy_error_m,final_spoon_target_xy_error_m
50,random,1,0,209652396,False,False,both_lifted_but_not_placed,361,-5.336263484423398e-07,-2.3316188446642627e-07,0.05000131577253342,0.04999915137887001,0.09417933225631714,0.09246969223022461,0.14945882558822632,0.13938885927200317,0,0.05796521236417996,0.019818070683030126
50,random,2,1,398764591,False,False,both_lifted_but_not_placed,361,3.558659784630436e-07,1.3411943200480891e-07,0.050001226365566254,0.049999020993709564,0.09411901235580444,0.10645174980163574,0.1424272656440735,0.13746169209480286,0,0.03847029259231614,0.01260791630933122
50,random,6,5,1537364731,False,False,both_lifted_but_not_placed,361,1.750569964542592e-07,3.1389083687827224e-07,0.04999926686286926,0.0499989353120327,0.06854093074798584,0.07018840312957764,0.13915450870990753,0.13981850445270538,0,0.03238650047309294,0.05377402239749461
5,random,1,0,209652396,False,False,open_but_no_effective_grasp,361,-5.170044801161566e-07,-2.3603485033163452e-07,0.0500030517578125,0.05000237002968788,0.0,4.172325134277344e-07,0.19481083750724792,0.1543358713388443,0,0.12432156232314193,0.02786780085227669
5,random,1,0,398764591,False,False,fork_not_lifted,361,3.430602362186619e-07,1.287581454789688e-07,0.04999268054962158,0.04999065771698952,1.901388168334961e-05,0.07226914167404175,0.13654635846614838,0.13826650381088257,0,0.17222491816634036,0.02201236339605152
5,random,1,0,1537364731,False,False,open_but_no_effective_grasp,361,3.045466314688383e-07,2.7612441044766456e-07,0.049774788320064545,0.07052325457334518,0.0,0.0,0.13873018324375153,0.1382252722978592,0,0.09763589124709213,0.12255178199367492
