variant,episode,seed,immediate_left_joint_id,immediate_right_joint_id,immediate_left_qpos_m,immediate_right_qpos_m,immediate_left_target_qpos_m,immediate_right_target_qpos_m,immediate_left_qvel,immediate_right_qvel,immediate_left_target_qvel,immediate_right_target_qvel,after_sync_left_joint_id,after_sync_right_joint_id,after_sync_left_qpos_m,after_sync_right_qpos_m,after_sync_left_target_qpos_m,after_sync_right_target_qpos_m,after_sync_left_qvel,after_sync_right_qvel,after_sync_left_target_qvel,after_sync_right_target_qvel,after_obs_left_joint_id,after_obs_right_joint_id,after_obs_left_qpos_m,after_obs_right_qpos_m,after_obs_left_target_qpos_m,after_obs_right_target_qpos_m,after_obs_left_qvel,after_obs_right_qvel,after_obs_left_target_qvel,after_obs_right_target_qvel,left_link6_x_m,left_link6_y_m,left_link6_z_m,right_link6_x_m,right_link6_y_m,right_link6_z_m
no_eef_random,1,209652396,12,14,-9.445153068554646e-07,-3.493139786314714e-07,0.0,0.0,-7.496784382965416e-05,0.0001992989709833637,0.0,0.0,12,14,-9.445153068554646e-07,-3.493139786314714e-07,0.0,0.0,-7.496784382965416e-05,0.0001992989709833637,0.0,0.0,12,14,-9.445153068554646e-07,-3.493139786314714e-07,0.0,0.0,-7.496784382965416e-05,0.0001992989709833637,0.0,0.0,0.28336066007614136,0.2944485545158386,1.0484704971313477,0.2750389575958252,-0.30141881108283997,1.0786702632904053
no_eef_random,2,398764591,12,14,0.03559267148375511,3.3620025874370185e-07,0.03559163957834244,0.0,-0.00017800601199269295,-0.00018902993178926408,0.0,0.0,12,14,0.03559267148375511,3.3620025874370185e-07,0.03559163957834244,0.0,-0.00017800601199269295,-0.00018902993178926408,0.0,0.0,12,14,0.03559267148375511,3.3620025874370185e-07,0.03559163957834244,0.0,-0.00017800601199269295,-0.00018902993178926408,0.0,0.0,0.2815456688404083,0.29522621631622314,1.0760670900344849,0.27984002232551575,-0.30077701807022095,1.087517261505127
no_eef_random,3,924231285,12,14,-1.1213126072107116e-07,1.6807550196062948e-07,0.0,0.0,6.608506373595446e-05,-0.00010336327250115573,0.0,0.0,12,14,-1.1213126072107116e-07,1.6807550196062948e-07,0.0,0.0,6.608506373595446e-05,-0.00010336327250115573,0.0,0.0,12,14,-1.1213126072107116e-07,1.6807550196062948e-07,0.0,0.0,6.608506373595446e-05,-0.00010336327250115573,0.0,0.0,0.2812555134296417,0.29518115520477295,1.0673480033874512,0.2779492437839508,-0.29806432127952576,1.0947182178497314
no_eef_random,4,1478610112,12,14,0.0049832528457045555,-1.2486398759392614e-07,0.004985565785318613,0.0,-6.1687474953942e-05,5.241776671027765e-05,0.0,0.0,12,14,0.0049832528457045555,-1.2486398759392614e-07,0.004985565785318613,0.0,-6.1687474953942e-05,5.241776671027765e-05,0.0,0.0,12,14,0.0049832528457045555,-1.2486398759392614e-07,0.004985565785318613,0.0,-6.1687474953942e-05,5.241776671027765e-05,0.0,0.0,0.2822813093662262,0.29294905066490173,1.060872197151184,0.2751534879207611,-0.2991093695163727,1.0776227712631226
no_eef_random,5,441365315,12,14,-1.916932887979783e-06,1.1560157986423292e-07,0.0,0.0,2.0409468561410904e-05,-6.99958109180443e-05,0.0,0.0,12,14,-1.916932887979783e-06,1.1560157986423292e-07,0.0,0.0,2.0409468561410904e-05,-6.99958109180443e-05,0.0,0.0,12,14,-1.916932887979783e-06,1.1560157986423292e-07,0.0,0.0,2.0409468561410904e-05,-6.99958109180443e-05,0.0,0.0,0.2826341986656189,0.2955671548843384,1.0565314292907715,0.2789480984210968,-0.2977127730846405,1.0739110708236694
no_eef_random,6,1537364731,12,14,0.0014029733138158917,-1.6276317182928324e-07,0.001403291244059801,0.0,5.7629607908893377e-05,7.66081502661109e-05,0.0,0.0,12,14,0.0014029733138158917,-1.6276317182928324e-07,0.001403291244059801,0.0,5.7629607908893377e-05,7.66081502661109e-05,0.0,0.0,12,14,0.0014029733138158917,-1.6276317182928324e-07,0.001403291244059801,0.0,5.7629607908893377e-05,7.66081502661109e-05,0.0,0.0,0.28406649827957153,0.2920502722263336,1.0558072328567505,0.27542516589164734,-0.2974740266799927,1.0792046785354614
no_eef_random,7,192771779,12,14,0.03559429571032524,1.1563686541649076e-07,0.035595305263996124,0.0,9.015913383336738e-05,-6.758693780284375e-05,0.0,0.0,12,14,0.03559429571032524,1.1563686541649076e-07,0.035595305263996124,0.0,9.015913383336738e-05,-6.758693780284375e-05,0.0,0.0,12,14,0.03559429571032524,1.1563686541649076e-07,0.035595305263996124,0.0,9.015913383336738e-05,-6.758693780284375e-05,0.0,0.0,0.2834164500236511,0.29301247000694275,1.0557098388671875,0.275882363319397,-0.29915836453437805,1.0803364515304565
no_eef_random,8,1491434855,12,14,-2.3006589344731765e-07,-8.463463530006266e-08,0.0,0.0,0.00014210098015610129,3.3183139748871326e-05,0.0,0.0,12,14,-2.3006589344731765e-07,-8.463463530006266e-08,0.0,0.0,0.00014210098015610129,3.3183139748871326e-05,0.0,0.0,12,14,-2.3006589344731765e-07,-8.463463530006266e-08,0.0,0.0,0.00014210098015610129,3.3183139748871326e-05,0.0,0.0,0.27942827343940735,0.2935844957828522,1.0756525993347168,0.2797869145870209,-0.29990828037261963,1.0740031003952026
no_eef_random,9,1819583497,12,14,0.047186482697725296,-1.0039953224350029e-07,0.04718582332134247,0.0,-0.00016065832460299134,4.605162394000217e-05,0.0,0.0,12,14,0.047186482697725296,-1.0039953224350029e-07,0.04718582332134247,0.0,-0.00016065832460299134,4.605162394000217e-05,0.0,0.0,12,14,0.047186482697725296,-1.0039953224350029e-07,0.04718582332134247,0.0,-0.00016065832460299134,4.605162394000217e-05,0.0,0.0,0.2803436517715454,0.2915368676185608,1.0696099996566772,0.2816007137298584,-0.29887470602989197,1.082207441329956
no_eef_random,10,530702035,12,14,0.044507212936878204,-2.183033416258695e-07,0.04450698569417,0.0,0.0001377956214128062,0.00012992719712201506,0.0,0.0,12,14,0.044507212936878204,-2.183033416258695e-07,0.04450698569417,0.0,0.0001377956214128062,0.00012992719712201506,0.0,0.0,12,14,0.044507212936878204,-2.183033416258695e-07,0.04450698569417,0.0,0.0001377956214128062,0.00012992719712201506,0.0,0.0,0.2849101424217224,0.2916489243507385,1.0719263553619385,0.27575403451919556,-0.297614723443985,1.073731541633606
no_eef_random,11,626610453,12,14,-2.664302428456722e-06,2.337991560352748e-07,0.0,0.0,0.00016780434816610068,-0.00012459467689041048,0.0,0.0,12,14,-2.664302428456722e-06,2.337991560352748e-07,0.0,0.0,0.00016780434816610068,-0.00012459467689041048,0.0,0.0,12,14,-2.664302428456722e-06,2.337991560352748e-07,0.0,0.0,0.00016780434816610068,-0.00012459467689041048,0.0,0.0,0.28443649411201477,0.29469868540763855,1.0539742708206177,0.27993613481521606,-0.3001658618450165,1.092818260192871
